hlt_code,n_users,hlt_term,percent_users
10020648,3,Hyperkeratoses,0.04
10028342,3,Muscle tone abnormal,0.04
10005536,3,Blood gas and acid base analyses,0.04
10038267,3,Refractive and accommodative disorders,0.04
10005742,3,Blood pressure disorders NEC,0.04
10047834,3,Water and electrolyte analyses NEC,0.04
10015542,3,Eustachian tube disorders,0.04
10019281,3,Heart failures NEC,0.04
10014700,3,Endocrine disorders NEC,0.04
10008776,3,"Choroid and vitreous structural change, deposit and degeneration",0.04
10027696,3,Reproductive tract disorders NEC (excl neoplasms),0.04
10008636,3,Cholestasis and jaundice,0.04
10047465,3,Viral infections NEC,0.04
10042129,3,Stomatitis and ulceration,0.04
10030045,3,"Ocular infections, inflammations and associated manifestations",0.04
10040866,3,Skin hyperplasias and hypertrophies,0.04
10031015,3,Oral soft tissue disorders NEC,0.04
10029559,3,Non-site specific procedural complications,0.04
10024445,3,"Lid, lash and lacrimal infections, irritations and inflammations",0.04
10033646,3,Acute and chronic pancreatitis,0.04
10057178,3,Osteoarthropathies,0.04
10013322,3,Male gonadal function disorders,0.04
10013357,3,Sexual function and fertility disorders NEC,0.04
10044049,3,Dental pain and sensation disorders,0.04
10015992,3,Eyelid movement disorders,0.04
10064463,3,Special sense investigations NEC,0.04
10002067,3,Anaemias NEC,0.04
10039219,3,Rosaceas,0.04
10015909,2,Eye and eyelid infections,0.03
10057175,2,Mass conditions NEC,0.03
10007134,2,Candida infections,0.03
10041460,2,Speech and language abnormalities,0.03
10041295,2,Soft tissue neoplasms benign NEC,0.03
10057185,2,Nervous system disorders NEC,0.03
10010722,2,"Conjunctival infections, irritations and inflammations",0.03
10052828,2,Eosinophilic disorders,0.03
10047938,2,White blood cell analyses,0.03
10043712,2,Thyroid disorders NEC,0.03
10007948,2,Central nervous system haemorrhages and cerebrovascular accidents,0.03
10012437,2,Dermatitis ascribed to specific agent,0.03
10012655,2,Diabetic complications NEC,0.03
10008616,2,Cholecystitis and cholelithiasis,0.03
10011879,2,Hearing losses,0.03
10044645,2,Trigeminal disorders,0.03
10013342,2,Ovarian and fallopian tube disorders NEC,0.03
10053104,2,ECG investigations,0.03
10043985,2,Tongue signs and symptoms,0.03
10013376,2,Uterine disorders NEC,0.03
10014477,2,Elevated cholesterol with elevated triglycerides,0.03
10052737,2,Atopic disorders,0.03
10043835,2,Tic disorders,0.03
10043779,2,Acute and chronic thyroiditis,0.03
10047627,2,Vitamin deficiencies NEC,0.03
10043418,2,Thermal burns,0.03
10019237,2,Healing abnormal NEC,0.03
10017958,2,Non-site specific gastrointestinal haemorrhages,0.03
10004938,2,Bipolar disorders,0.03
10069785,2,Complications associated with device NEC,0.03
10034823,2,Pharyngeal disorders (excl infections and neoplasms),0.03
10034653,2,Peritoneal and retroperitoneal disorders,0.03
10003057,2,Application site reactions,0.03
10040898,2,Skin neoplasms benign,0.03
10034057,2,Partial complex seizures,0.03
10024094,2,Learning disorders,0.03
10024385,2,Leukopenias NEC,0.03
10002425,2,Angioedemas,0.03
10025439,2,Magnesium metabolism disorders,0.03
10030864,2,Ophthalmic function diagnostic procedures,0.03
10074485,2,Bone and joint injuries NEC,0.03
10076292,2,Overdoses NEC,0.03
10079147,2,Product administration errors and issues,0.03
10027666,2,Ear disorders NEC,0.03
10001424,2,Adverse effect absent,0.03
10001373,2,Adrenal medulla tests,0.03
10027939,2,Mood alterations with manic symptoms,0.03
10088574,2,Urinary tract lithiasis NEC,0.03
10004047,2,Bacterial infections NEC,0.03
10002700,2,Anterior pituitary hyperfunction,0.03
10037163,2,Psoriatic arthropathies,0.03
10019661,2,Hepatic enzymes and function abnormalities,0.03
10006233,2,Breast disorders congenital,0.03
10040759,2,Site specific injuries NEC,0.03
10040743,2,Paranasal sinus disorders (excl infections and neoplasms),0.03
10039912,2,Seizures and seizure disorders NEC,0.03
10038997,2,Retroviral infections,0.03
10039078,2,Rheumatoid arthropathies,0.03
10038144,2,Red blood cell abnormal findings NEC,0.03
10037252,2,Psychotic disorder NEC,0.03
10006975,1,Calcium metabolism disorders,0.01
10084510,1,Coronavirus infections,0.01
10057187,1,Cell metabolism disorders NEC,0.01
10052770,1,Coma states,0.01
10006985,1,Caliciviral infections,0.01
10082211,1,"Gingival disorders, signs and symptoms NEC",0.01
10006555,1,Bullous conditions,0.01
10006472,1,Respiratory tract and thoracic histopathology procedures,0.01
10009193,1,Circulatory collapse and shock,0.01
10052730,1,Drug withdrawal therapies,0.01
10052739,1,Immunodeficiency disorders NEC,0.01
10001475,1,Age related issues,0.01
10002092,1,Anaesthesia and allied procedures,0.01
10007962,1,Central nervous system vascular disorders NEC,0.01
10077535,1,Anaphylactic and anaphylactoid responses,0.01
10052774,1,Ligament disorders,0.01
10008183,1,Cerebrospinal fluid tests (excl microbiology),0.01
10069219,1,Product physical issues,0.01
10074472,1,Connective tissue disorders NEC,0.01
10006038,1,Borrelial infections,0.01
10006000,1,Bone therapeutic procedures NEC,0.01
10065878,1,Faecal analyses NEC,0.01
10007772,1,Cataract conditions,0.01
10072981,1,Cell marker analyses,0.01
10002701,1,Anterior pituitary hypofunction,0.01
10005133,1,Bleeding tendencies,0.01
10053567,1,Coagulopathies,0.01
10009728,1,Coagulation and bleeding analyses,0.01
10028321,1,Muscle therapeutic procedures,0.01
10010119,1,Communications disorders,0.01
10031049,1,"Orbital infections, inflammations and irritations",0.01
10019709,1,Hepatobiliary signs and symptoms,0.01
10037573,1,Pustular conditions,0.01
10021064,1,Hypopigmentation disorders,0.01
10021404,1,Imaging procedures NEC,0.01
10021421,1,Immune response protein analyses NEC,0.01
10021477,1,Immunoglobulin analyses,0.01
10036966,1,Prostatic neoplasms and hypertrophy,0.01
10036959,1,"Prostatic signs, symptoms and disorders NEC",0.01
10022979,1,Iron excess,0.01
10023819,1,Laryngeal and adjacent sites disorders NEC (excl infections and neoplasms),0.01
10023855,1,"Laryngeal spasm, oedema and obstruction",0.01
10034572,1,Peripheral embolism and thrombosis,0.01
10024379,1,Leukocytoses NEC,0.01
10025101,1,Lower respiratory tract and lung infections,0.01
10030315,1,Oncologic complications and emergencies,0.01
10019338,1,Heat injuries (excl thermal burns),0.01
10030196,1,Oesophageal stenosis and obstruction,0.01
10026909,1,Maternal complications of pregnancy NEC,0.01
10027300,1,Menopausal effects on the genitourinary tract,0.01
10027361,1,Mental disorders due to a general medical condition NEC,0.01
10029355,1,Neutropenias,0.01
10027657,1,Autoimmune disorders NEC,0.01
10027658,1,Bone disorders NEC,0.01
10029292,1,Neurologic visual problems NEC,0.01
10029111,1,Neoplasms unspecified malignancy and site unspecified NEC,0.01
10027680,1,Genital and urinary tract disorders NEC,0.01
10027698,1,Respiratory signs and symptoms NEC,0.01
10027739,1,Mixed acid-base disorders,0.01
10028004,1,Motor neurone diseases,0.01
10028378,1,"Musculoskeletal and connective tissue deformities of skull, face and buccal cavity",0.01
10019669,1,Hepatic fibrosis and cirrhosis,0.01
10039513,1,Scaly conditions,0.01
10010268,1,Conditions associated with abnormal gas exchange,0.01
10043740,1,Thyroid hyperfunction disorders,0.01
10010269,1,Conditions caused by cold,0.01
10048260,1,Zinc disorders,0.01
10047598,1,Vitamin analyses,0.01
10047573,1,Visual pathway disorders,0.01
10011085,1,Ischaemic coronary artery disorders,0.01
10011907,1,Death and sudden death,0.01
10047094,1,Vascular therapeutic procedures NEC,0.01
10011975,1,Decreased physical activity levels,0.01
10012326,1,Dental and oral soft tissue infections,0.01
10012329,1,Dental surface disorders,0.01
10046588,1,Urinary tract procedural complications,0.01
10046512,1,Urinalysis NEC,0.01
10044556,1,Fracture treatments (excl skull and spine),0.01
10013360,1,Synovial disorders,0.01
10043475,1,Thoracic musculoskeletal disorders,0.01
10039782,1,Sebaceous gland disorders,0.01
10014692,1,Endocrine abnormalities of puberty,0.01
10015107,1,Epstein-Barr viral infections,0.01
10016654,1,Fibrosis NEC,0.01
10041544,1,Spinal cord and nerve root disorders NEC,0.01
10041462,1,Speech articulation and rhythm disturbances,0.01
10041461,1,Speech and language usage disturbances,0.01
10017536,1,Fungal infections NEC,0.01
10018013,1,Gastrointestinal therapeutic procedures NEC,0.01
10018029,1,Haemorrhoids and gastrointestinal varices (excl oesophageal),0.01
10040834,1,Skin and subcutaneous tissue disorders congenital NEC,0.01
10018846,1,Haematological analyses NEC,0.01
10040786,1,Skin structures and soft tissue infections,0.01
10018847,1,Haematological disorders,0.01
10040674,1,Reproductive tract signs and symptoms NEC,0.01
10088575,1,Fertility analyses and other reproductive function procedures,0.01
